date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:44	23831/23831	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/index.html	(from )
13:01:44	219/219	---M--	403	error ('Forbidden')	text/html	date:Thu,%2004%20Aug%202016%2007:31:46%20GMT	http://scrils.com/robots.txt		(from )
13:01:45	122361/122361	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/css/bootstrap.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/css/bootstrap.css	(from http://scrils.com/demos/Tesla/)
13:01:45	15067/15067	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/css/stylesheet.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/css/stylesheet.css	(from http://scrils.com/demos/Tesla/)
13:01:45	72921/72921	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/css/animate.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/css/animate.css	(from http://scrils.com/demos/Tesla/)
13:01:57	21658/21658	---M-Z	200	added ('OK')	text/css	etag:%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/SD/Desktop/Web/Me/Self/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://scrils.com/demos/Tesla/)
13:01:57	19067/19067	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/icons/Linea/styles.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/icons/Linea/styles.css	(from http://scrils.com/demos/Tesla/)
13:01:58	25237/25237	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/icons/Elegant/style.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/icons/Elegant/style.css	(from http://scrils.com/demos/Tesla/)
13:01:59	7784/7784	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/css/magnific-popup.css	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/css/magnific-popup.css	(from http://scrils.com/demos/Tesla/)
13:02:01	19274/19274	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jul%202015%2021:38:38%20GMT	http://scrils.com/demos/Tesla/assets/images/avatar.jpg	C:/Users/SD/Desktop/Web/Me/Self/scrils.com/demos/Tesla/assets/images/avatar.jpg	(from http://scrils.com/demos/Tesla/)
